"CustomerId","TransactionStartTime","Value","Amount","TransactionId","BatchId","SubscriptionId","CurrencyCode","CountryCode","ProviderId","ProductId","ProductCategory","ChannelId","TransactionStatus","IssuedDateLoan","AmountLoan","Currency","LoanId","PaidOnDate","IsFinalPayBack","InvestorId","DueDate","LoanApplicationId","PayBackId","ThirdPartyId","IsThirdPartyConfirmed","IsDefaulted"
"CustomerId_27",2018-09-21 12:17:39,550,-550,"TransactionId_1683","BatchId_641","SubscriptionId_2","UGX","256","ProviderId_1","ProductId_7","airtime","ChannelId_1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CustomerId_27",2018-09-25 09:20:29,550,-550,"TransactionId_2235","BatchId_820","SubscriptionId_2","UGX","256","ProviderId_1","ProductId_7","airtime","ChannelId_1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CustomerId_27",2018-09-25 10:33:31,550,-550,"TransactionId_1053","BatchId_210","SubscriptionId_4","UGX","256","ProviderId_1","ProductId_7","airtime","ChannelId_1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CustomerId_27",2018-09-27 10:26:41,1000,-1000,"TransactionId_2633","BatchId_876","SubscriptionId_4","UGX","256","ProviderId_1","ProductId_7","airtime","ChannelId_1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CustomerId_27",2018-09-27 12:44:21,500,-500,"TransactionId_71","BatchId_1362","SubscriptionId_4","UGX","256","ProviderId_1","ProductId_7","airtime","ChannelId_1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CustomerId_27",2018-09-28 12:40:48,500,-500,"TransactionId_930","BatchId_357","SubscriptionId_4","UGX","256","ProviderId_1","ProductId_7","airtime","ChannelId_1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CustomerId_27",2018-10-03 09:34:04,500,-500,"TransactionId_1381","BatchId_8","SubscriptionId_4","UGX","256","ProviderId_1","ProductId_7","airtime","ChannelId_1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CustomerId_27",2018-10-17 09:06:16,1235,-1235,"TransactionId_255","BatchId_1082","SubscriptionId_4","UGX","256","ProviderId_1","ProductId_3","airtime","ChannelId_1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CustomerId_27",2018-10-17 12:02:45,1235,-1235,"TransactionId_543","BatchId_1195","SubscriptionId_4","UGX","256","ProviderId_1","ProductId_3","airtime","ChannelId_1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CustomerId_258",2018-10-18 16:11:55,10000,-10000,"TransactionId_1041","BatchId_1970","SubscriptionId_4","UGX","256","ProviderId_1","ProductId_7","airtime","ChannelId_1","1",2018-10-18 16:11:53,10016,"UGX","LoanId_62",2018-10-22 09:13:17,"1","InvestorId_3",2018-11-17 16:11:04,NA,"PayBackId_1791","ThirdPartyId_648","0","0"
"CustomerId_258",2018-10-18 16:11:55,10000,-10000,"TransactionId_1041","BatchId_1970","SubscriptionId_4","UGX","256","ProviderId_1","ProductId_7","airtime","ChannelId_1","1",2018-10-18 16:11:53,584,"UGX","LoanId_62",2018-10-23 07:34:35,"1","InvestorId_3",2018-11-17 16:11:04,NA,"PayBackId_1067","ThirdPartyId_68","0","0"
"CustomerId_258",2018-10-18 16:11:55,10000,-10000,"TransactionId_1041","BatchId_1970","SubscriptionId_4","UGX","256","ProviderId_1","ProductId_7","airtime","ChannelId_1","1",2018-10-18 16:11:53,100,"UGX","LoanId_62",2018-10-25 08:58:07,"1","InvestorId_3",2018-11-17 16:11:04,NA,"PayBackId_928","ThirdPartyId_1883","0","0"
"CustomerId_27",2018-10-19 09:51:25,1030,-1030,"TransactionId_379","BatchId_2253","SubscriptionId_4","UGX","256","ProviderId_1","ProductId_3","airtime","ChannelId_1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CustomerId_233",2018-10-19 10:18:33,5150,-5150,"TransactionId_1598","BatchId_1458","SubscriptionId_4","UGX","256","ProviderId_1","ProductId_7","airtime","ChannelId_1","1",2018-10-19 10:18:31,5614,"UGX","LoanId_22",2018-10-30 06:50:37,"1","InvestorId_3",2018-11-18 10:16:06,NA,"PayBackId_647","ThirdPartyId_1484","0","0"
"CustomerId_233",2018-10-19 11:01:30,515,-515,"TransactionId_2115","BatchId_1672","SubscriptionId_4","UGX","256","ProviderId_1","ProductId_7","airtime","ChannelId_1","1",2018-10-19 11:01:28,544,"UGX","LoanId_368",2018-10-22 16:11:37,"1","InvestorId_3",2018-11-18 11:00:56,NA,"PayBackId_1267","ThirdPartyId_949","0","0"
